TEAM_ID,TEAM_NAME,W,L,W_PCT,FG3_PCT,W_PCT_RANK,FG3_PCT_RANK,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,REB_PCT,OREB_PCT,DREB_PCT,PACE,TM_TOV_PCT,AST_TO,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,TS_PCT_RANK,REB_PCT_RANK,OREB_PCT_RANK,DREB_PCT_RANK,PACE_RANK,TM_TOV_PCT_RANK,AST_TO_RANK
1610612737,Atlanta Hawks,46,36,0.561,0.371,11,5,115.0,112.9,2.2,0.584,0.495,0.291,0.702,102.5,0.138,2.13,14,10,12,12,17,20,9,5,8,3
1610612738,Boston Celtics,56,26,0.683,0.367,4,8,120.0,111.7,8.3,0.583,0.525,0.336,0.71,95.58,0.129,1.99,2,4,4,13,3,5,6,30,3,9
1610612751,Brooklyn Nets,20,62,0.244,0.34,28,30,108.2,118.2,-10.0,0.559,0.478,0.287,0.687,97.6,0.161,1.59,30,25,29,30,27,21,22,26,29,29
1610612766,Charlotte Hornets,44,38,0.537,0.378,16,3,118.4,113.5,4.9,0.589,0.539,0.358,0.722,97.59,0.157,1.71,5,11,8,10,2,2,2,27,28,23
1610612741,Chicago Bulls,31,51,0.378,0.356,22,19,112.1,117.4,-5.3,0.58,0.496,0.279,0.708,103.22,0.148,1.86,25,22,23,16,16,26,7,3,21,13
1610612739,Cleveland Cavaliers,52,30,0.634,0.36,8,13,118.3,114.1,4.1,0.595,0.502,0.307,0.692,100.7,0.138,2.02,6,15,9,6,10,9,18,13,9,7
1610612742,Dallas Mavericks,26,56,0.317,0.344,23,26,110.3,115.5,-5.2,0.564,0.492,0.279,0.702,102.62,0.141,1.74,27,19,22,28,18,27,10,4,13,22
1610612743,Denver Nuggets,54,28,0.659,0.396,5,1,121.2,116.0,5.2,0.616,0.511,0.286,0.717,99.49,0.128,2.25,1,21,7,1,8,22,3,20,2,1
1610612765,Detroit Pistons,60,22,0.732,0.356,3,17,117.3,108.9,8.4,0.583,0.524,0.354,0.689,99.88,0.151,1.84,9,2,2,14,4,3,20,19,23,16
1610612744,Golden State Warriors,37,45,0.451,0.356,20,20,113.8,114.4,-0.5,0.584,0.49,0.302,0.684,100.05,0.156,1.85,19,16,20,11,24,13,24,18,26,15
1610612745,Houston Rockets,52,30,0.634,0.364,8,10,117.5,112.1,5.4,0.576,0.545,0.388,0.701,96.98,0.157,1.65,8,6,6,19,1,1,11,29,27,27
1610612754,Indiana Pacers,19,63,0.232,0.356,29,18,110.1,117.9,-7.8,0.568,0.475,0.263,0.695,101.78,0.142,1.91,28,24,26,25,29,29,14,7,14,11
1610612746,LA Clippers,42,40,0.512,0.368,18,7,116.3,115.2,1.1,0.602,0.49,0.284,0.681,97.29,0.147,1.66,11,18,16,3,23,25,25,28,18,26
1610612747,Los Angeles Lakers,53,29,0.646,0.359,6,14,117.0,115.5,1.5,0.609,0.499,0.285,0.7,99.22,0.146,1.79,10,20,14,2,12,24,12,22,17,18
1610612763,Memphis Grizzlies,25,57,0.305,0.353,25,22,112.4,118.4,-6.0,0.57,0.478,0.301,0.663,101.69,0.148,1.85,23,27,24,23,28,15,30,8,20,14
1610612748,Miami Heat,43,39,0.524,0.361,17,11,115.8,113.6,2.1,0.58,0.499,0.296,0.703,104.22,0.131,2.12,12,14,13,17,13,19,8,1,4,4
1610612749,Milwaukee Bucks,32,50,0.39,0.387,21,2,112.2,118.3,-6.1,0.589,0.482,0.263,0.695,98.33,0.154,1.7,24,26,25,9,26,30,15,23,25,25
1610612750,Minnesota Timberwolves,49,33,0.598,0.37,10,6,115.6,112.5,3.1,0.592,0.499,0.302,0.691,101.5,0.145,1.76,13,8,10,7,11,14,19,10,16,21
1610612740,New Orleans Pelicans,26,56,0.317,0.347,23,24,113.3,117.6,-4.4,0.568,0.491,0.311,0.674,101.37,0.139,1.77,20,23,21,26,20,8,28,11,10,20
1610612752,New York Knicks,53,29,0.646,0.373,6,4,118.7,112.3,6.4,0.59,0.522,0.328,0.715,97.71,0.139,2.01,4,7,5,8,5,7,4,25,11,8
1610612760,Oklahoma City Thunder,64,18,0.78,0.365,1,9,117.6,106.5,11.1,0.599,0.49,0.264,0.697,100.37,0.124,2.05,7,1,1,4,22,28,13,16,1,6
1610612753,Orlando Magic,45,37,0.549,0.343,13,27,114.2,113.6,0.6,0.576,0.505,0.306,0.71,100.56,0.14,1.87,18,13,17,18,9,12,5,14,12,12
1610612755,Philadelphia 76ers,45,37,0.549,0.349,13,23,114.3,114.4,-0.1,0.572,0.491,0.306,0.678,100.39,0.134,1.81,16,17,18,21,21,11,26,15,6,17
1610612756,Phoenix Suns,45,37,0.549,0.361,13,12,114.2,112.9,1.4,0.568,0.498,0.331,0.677,98.14,0.147,1.7,17,9,15,24,14,6,27,24,19,24
1610612757,Portland Trail Blazers,42,40,0.512,0.343,18,28,113.1,113.5,-0.4,0.57,0.517,0.354,0.688,101.63,0.169,1.46,21,12,19,22,7,4,21,9,30,30
1610612758,Sacramento Kings,22,60,0.268,0.34,26,29,110.6,120.3,-9.7,0.56,0.487,0.298,0.685,100.12,0.143,1.78,26,28,28,29,25,17,23,17,15,19
1610612759,San Antonio Spurs,62,20,0.756,0.359,2,15,118.7,110.4,8.4,0.595,0.521,0.306,0.724,100.72,0.133,2.09,3,3,3,5,6,10,1,12,5,5
1610612761,Toronto Raptors,46,36,0.561,0.354,11,21,115.0,112.1,2.9,0.581,0.496,0.3,0.693,99.22,0.137,2.16,15,5,11,15,15,16,16,21,7,2
1610612762,Utah Jazz,22,60,0.268,0.345,26,25,112.7,120.8,-8.2,0.575,0.492,0.298,0.693,103.54,0.149,1.91,22,29,27,20,19,18,17,2,22,10
1610612764,Washington Wizards,17,65,0.207,0.359,30,16,109.7,121.5,-11.8,0.566,0.471,0.285,0.664,102.49,0.152,1.6,29,30,30,27,30,23,29,6,24,28
