RK,NAME,TEAM,SALARY
1,"Stephen Curry, G",Golden State Warriors,"$59,606,817"
2,"Joel Embiid, C",Philadelphia 76ers,"$55,224,526"
3,"Nikola Jokic, C",Denver Nuggets,"$55,224,526"
4,"Kevin Durant, F",Houston Rockets,"$54,708,609"
5,"Anthony Davis, F",Dallas Mavericks,"$54,126,450"
6,"Karl-Anthony Towns, C",New York Knicks,"$54,126,450"
7,"Giannis Antetokounmpo, F",Milwaukee Bucks,"$54,126,450"
8,"Luka Doncic, G",Los Angeles Lakers,"$54,126,450"
9,"Jimmy Butler III, F",Golden State Warriors,"$54,126,450"
10,"Jayson Tatum, F",Boston Celtics,"$54,126,450"
11,"Devin Booker, G",Phoenix Suns,"$53,142,264"
12,"Jaylen Brown, G",Boston Celtics,"$53,142,264"
13,"LeBron James, F",Los Angeles Lakers,"$52,627,153"
14,"Paul George, F",Philadelphia 76ers,"$51,666,090"
15,"Kawhi Leonard, F",LA Clippers,"$50,000,000"
16,"Zach LaVine, G",Sacramento Kings,"$47,499,660"
17,"Trae Young, G",Washington Wizards,"$46,394,100"
18,"Lauri Markkanen, F",Utah Jazz,"$46,394,100"
19,"Cade Cunningham, G",Detroit Pistons,"$46,394,100"
20,"Jamal Murray, G",Denver Nuggets,"$46,394,100"
21,"Evan Mobley, C",Cleveland Cavaliers,"$46,394,100"
22,"Donovan Mitchell, G",Cleveland Cavaliers,"$46,394,100"
23,"Anthony Edwards, G",Minnesota Timberwolves,"$45,550,512"
24,"Tyrese Haliburton, G",Indiana Pacers,"$45,550,512"
25,"Pascal Siakam, F",Indiana Pacers,"$45,550,512"
26,"Domantas Sabonis, F",Sacramento Kings,"$43,636,000"
27,"OG Anunoby, F",New York Knicks,"$39,568,966"
28,"Ja Morant, G",Memphis Grizzlies,"$39,446,090"
29,"Darius Garland, G",LA Clippers,"$39,446,090"
30,"James Harden, G",Cleveland Cavaliers,"$39,446,090"
31,"Zion Williamson, F",New Orleans Pelicans,"$39,446,090"
32,"Scottie Barnes, F",Toronto Raptors,"$38,661,750"
33,"Franz Wagner, F",Orlando Magic,"$38,661,750"
34,"Shai Gilgeous-Alexander, G",Oklahoma City Thunder,"$38,333,050"
35,"Michael Porter Jr., F",Brooklyn Nets,"$38,333,050"
36,"Brandon Ingram, F",Toronto Raptors,"$38,095,238"
37,"Tyrese Maxey, G",Philadelphia 76ers,"$37,958,760"
38,"LaMelo Ball, G",Charlotte Hornets,"$37,958,760"
39,"De'Aaron Fox, G",San Antonio Spurs,"$37,096,620"
40,"Bam Adebayo, C",Miami Heat,"$37,096,620"
41,"Desmond Bane, G",Orlando Magic,"$36,725,670"
42,"Kyrie Irving, G",Dallas Mavericks,"$36,566,002"
43,"Jaren Jackson Jr., F",Utah Jazz,"$35,000,000"
44,"Jalen Suggs, G",Orlando Magic,"$35,000,000"
45,"Rudy Gobert, C",Minnesota Timberwolves,"$35,000,000"
46,"Jalen Brunson, G",New York Knicks,"$34,944,001"
47,"Alperen Sengun, C",Houston Rockets,"$33,944,954"
48,"Khris Middleton, F",Dallas Mavericks,"$33,926,296"
49,"Jalen Green, G",Phoenix Suns,"$33,548,499"
50,"Immanuel Quickley, G",Toronto Raptors,"$32,500,000"
51,"Jrue Holiday, G",Portland Trail Blazers,"$32,400,000"
52,"Jerami Grant, F",Portland Trail Blazers,"$32,000,000"
53,"Jordan Poole, G",New Orleans Pelicans,"$31,848,215"
54,"Tyler Herro, G",Miami Heat,"$31,000,000"
55,"Julius Randle, F",Minnesota Timberwolves,"$30,864,198"
56,"Dejounte Murray, G",New Orleans Pelicans,"$30,801,103"
57,"Kristaps Porzingis, C",Golden State Warriors,"$30,731,707"
58,"CJ McCollum, G",Atlanta Hawks,"$30,666,666"
59,"Jalen Johnson, F",Atlanta Hawks,"$30,000,000"
60,"Isaiah Hartenstein, C",Oklahoma City Thunder,"$28,500,000"
61,"Andrew Wiggins, F",Miami Heat,"$28,223,214"
62,"Derrick White, G",Boston Celtics,"$28,100,001"
63,"RJ Barrett, F",Toronto Raptors,"$27,705,357"
64,"Anfernee Simons, G",Chicago Bulls,"$27,678,571"
65,"Devin Vassell, G",San Antonio Spurs,"$27,000,000"
66,"Terry Rozier, G",Miami Heat,"$26,643,031"
67,"Tobias Harris, F",Detroit Pistons,"$26,634,146"
68,"John Collins, F",LA Clippers,"$26,580,000"
69,"Draymond Green, F",Golden State Warriors,"$25,892,857"
70,"Nic Claxton, C",Brooklyn Nets,"$25,352,272"
71,"Myles Turner, C",Milwaukee Bucks,"$25,318,251"
72,"Miles Bridges, F",Charlotte Hornets,"$25,000,000"
73,"Fred VanVleet, G",Houston Rockets,"$25,000,000"
74,"Josh Giddey, G",Chicago Bulls,"$25,000,000"
75,"Trey Murphy III, F",New Orleans Pelicans,"$25,000,000"
76,"Mikal Bridges, G",New York Knicks,"$24,900,000"
77,"Jaden McDaniels, F",Minnesota Timberwolves,"$24,858,622"
78,"DeMar DeRozan, G",Sacramento Kings,"$24,570,000"
79,"De'Andre Hunter, F",Sacramento Kings,"$23,303,571"
80,"Aaron Gordon, F",Denver Nuggets,"$22,841,455"
81,"Jonathan Kuminga, F",Atlanta Hawks,"$22,500,000"
82,"Dillon Brooks, F",Phoenix Suns,"$22,124,110"
83,"Kyle Kuzma, F",Milwaukee Bucks,"$21,810,605"
84,"Kentavious Caldwell-Pope, G",Memphis Grizzlies,"$21,621,500"
85,"Naz Reid, C",Minnesota Timberwolves,"$21,551,724"
86,"Nikola Vucevic, C",Boston Celtics,"$21,481,481"
87,"Cameron Johnson, F",Denver Nuggets,"$21,057,065"
88,"Norman Powell, G",Miami Heat,"$20,482,758"
89,"Jarrett Allen, C",Cleveland Cavaliers,"$20,000,000"
90,"Jakob Poeltl, C",Toronto Raptors,"$19,500,000"
91,"Josh Hart, G",New York Knicks,"$19,472,240"
92,"Jusuf Nurkic, C",Utah Jazz,"$19,375,000"
93,"Collin Sexton, G",Chicago Bulls,"$19,170,000"
94,"Harrison Barnes, F",San Antonio Spurs,"$19,000,000"
95,"Malik Monk, G",Sacramento Kings,"$18,797,618"
96,"Santi Aldama, F",Memphis Grizzlies,"$18,485,916"
97,"Rui Hachimura, F",Los Angeles Lakers,"$18,259,259"
98,"Luguentz Dort, G",Oklahoma City Thunder,"$18,222,222"
99,"Alex Caruso, G",Oklahoma City Thunder,"$18,102,000"
